raisedhands,VisITedResources,AnnouncementsView,Discussion,StudentAbsenceDays,Class
15,16,2,20,Under-7,M
20,20,3,25,Under-7,M
10,7,0,30,Above-7,L
30,25,5,35,Above-7,L
40,50,12,50,Above-7,M
42,30,13,70,Above-7,M
35,12,0,17,Above-7,L
50,10,15,22,Under-7,M
12,21,16,50,Under-7,M
70,80,25,70,Under-7,M
50,88,30,80,Under-7,H
19,6,19,12,Under-7,M
5,1,0,11,Above-7,L
20,14,12,19,Above-7,L
62,70,44,60,Above-7,H
30,40,22,66,Under-7,M
36,30,20,80,Above-7,M
55,13,35,90,Above-7,M
69,15,36,96,Under-7,M
70,50,40,99,Under-7,H
60,60,33,90,Above-7,M
10,12,4,80,Under-7,M
15,21,2,90,Under-7,M
2,0,2,50,Above-7,L
0,2,3,70,Above-7,L
8,7,30,40,Above-7,L
19,19,25,40,Under-7,M
25,15,12,33,Above-7,L
75,85,52,43,Under-7,M
30,90,33,35,Under-7,M
35,80,50,70,Under-7,H
4,5,40,16,Above-7,L
2,19,10,50,Above-7,L
8,22,9,40,Above-7,L
12,11,8,40,Above-7,L
10,12,17,30,Above-7,L
8,6,4,22,Above-7,L
45,54,26,90,Under-7,M
0,0,0,4,Above-7,L
50,90,37,70,Under-7,M
14,13,3,70,Above-7,L
19,20,16,50,Under-7,M
10,12,7,33,Above-7,L
30,35,28,90,Under-7,M
33,33,30,90,Under-7,M
20,12,15,70,Above-7,L
7,10,1,30,Above-7,L
70,4,39,90,Under-7,H
13,80,40,88,Under-7,H
29,39,50,77,Under-7,M
20,14,12,70,Above-7,L
39,15,16,50,Above-7,L
55,90,16,40,Under-7,M
49,70,19,75,Under-7,H
12,50,8,30,Above-7,L
16,14,6,20,Above-7,L
19,5,4,1,Above-7,L
5,2,6,5,Above-7,L
28,60,19,50,Under-7,M
27,22,22,40,Under-7,M
21,10,28,20,Above-7,L
50,70,32,40,Under-7,M
80,90,70,80,Under-7,H
17,13,16,12,Under-7,M
0,5,7,2,Above-7,L
13,5,18,19,Above-7,L
25,10,19,30,Above-7,M
65,75,23,80,Under-7,H
70,69,35,30,Under-7,H
39,40,11,33,Under-7,M
22,30,10,12,Above-7,L
29,22,9,20,Under-7,M
11,2,2,8,Under-7,L
19,30,26,19,Above-7,M
12,0,6,13,Under-7,L
50,90,29,60,Under-7,M
15,70,37,44,Under-7,M
20,80,33,33,Under-7,M
13,3,11,9,Above-7,L
80,90,49,55,Under-7,H
8,15,10,40,Under-7,L
8,25,1,70,Above-7,L
7,5,2,80,Above-7,L
7,4,10,50,Above-7,M
50,70,50,10,Above-7,H
1,0,1,12,Above-7,L
70,12,40,50,Under-7,H
19,70,3,50,Under-7,L
3,12,4,33,Under-7,L
5,20,1,50,Above-7,L
4,8,10,60,Above-7,L
80,90,55,19,Under-7,H
50,70,19,15,Under-7,H
55,89,40,40,Under-7,H
80,44,35,10,Above-7,L
100,80,2,70,Under-7,H
14,60,11,75,Under-7,H
6,2,38,12,Under-7,M
10,3,0,30,Under-7,M
50,7,9,50,Above-7,M
50,90,40,90,Under-7,M
70,92,50,7,Under-7,H
2,6,2,8,Above-7,L
1,7,6,10,Above-7,L
0,12,3,3,Above-7,M
0,0,5,80,Above-7,L
12,26,7,40,Under-7,M
70,90,41,33,Under-7,H
7,12,5,3,Above-7,M
90,70,30,14,Under-7,M
70,88,55,40,Under-7,H
77,80,51,80,Under-7,M
2,5,3,50,Above-7,L
25,27,0,69,Above-7,L
11,2,0,50,Above-7,L
0,8,11,70,Above-7,L
77,80,12,19,Above-7,M
25,29,40,17,Under-7,H
24,35,23,22,Above-7,M
60,60,3,60,Under-7,M
21,12,0,50,Under-7,M
0,4,8,30,Above-7,L
66,90,55,12,Above-7,M
70,98,7,5,Under-7,M
0,6,4,15,Under-7,L
12,30,0,17,Above-7,L
2,9,7,55,Under-7,M
55,33,6,9,Above-7,L
12,10,20,16,Under-7,L
70,90,2,2,Under-7,L
7,9,5,30,Above-7,L
80,42,20,50,Under-7,M
0,3,10,3,Above-7,L
12,60,0,70,Above-7,L
80,80,15,70,Under-7,H
70,80,95,70,Under-7,H
70,80,95,70,Under-7,H
60,80,50,40,Under-7,M
100,80,95,90,Under-7,H
100,85,85,70,Under-7,M
10,60,5,20,Above-7,L
19,65,50,10,Above-7,L
10,75,55,11,Under-7,M
80,90,55,19,Under-7,H
10,10,15,19,Above-7,L
70,75,55,11,Under-7,M
100,75,50,70,Under-7,H
10,79,30,30,Under-7,M
60,55,30,40,Under-7,M
100,75,50,70,Under-7,H
80,80,51,59,Under-7,H
23,63,71,89,Under-7,M
100,91,98,40,Under-7,H
10,51,40,40,Above-7,L
70,50,33,41,Above-7,M
70,58,73,91,Under-7,H
70,50,30,49,Under-7,M
70,50,33,40,Under-7,M
22,51,48,10,Above-7,L
62,68,48,80,Under-7,M
82,89,58,50,Under-7,H
72,80,58,66,Under-7,M
70,82,3,73,Under-7,H
60,82,93,43,Above-7,M
55,72,83,14,Above-7,M
72,65,73,66,Under-7,H
51,82,53,43,Under-7,M
80,92,83,43,Under-7,H
60,52,23,33,Under-7,H
30,12,29,23,Under-7,M
40,62,83,33,Under-7,H
60,52,23,33,Under-7,M
20,22,53,13,Above-7,L
20,52,23,33,Above-7,L
50,62,73,43,Above-7,M
10,2,13,53,Above-7,L
60,52,23,33,Under-7,H
15,52,83,11,Under-7,M
80,42,33,13,Under-7,H
40,51,20,33,Under-7,M
60,70,63,93,Under-7,H
50,62,13,33,Above-7,L
85,75,62,53,Under-7,H
25,15,32,53,Under-7,M
10,35,30,13,Above-7,L
87,65,82,33,Under-7,H
85,15,22,53,Under-7,M
80,71,52,51,Under-7,M
75,71,72,53,Under-7,H
85,66,12,23,Under-7,M
23,25,32,53,Under-7,L
15,25,37,13,Above-7,L
95,91,62,53,Under-7,M
81,75,62,53,Under-7,M
53,75,72,23,Under-7,M
15,43,42,33,Under-7,M
92,65,62,53,Under-7,H
83,75,62,53,Under-7,H
27,15,42,53,Above-7,L
45,95,12,13,Under-7,M
15,90,52,83,Under-7,H
45,58,52,43,Under-7,H
25,5,12,33,Under-7,M
22,51,42,40,Under-7,M
29,10,12,24,Above-7,L
72,51,42,24,Above-7,H
67,31,42,14,Under-7,M
17,21,42,14,Under-7,M
27,41,49,14,Under-7,M
70,81,39,84,Under-7,M
27,90,82,14,Under-7,H
17,61,42,14,Under-7,M
87,81,42,19,Under-7,H
7,61,22,14,Above-7,L
17,50,2,4,Above-7,L
5,21,42,14,Above-7,L
27,41,32,61,Above-7,M
87,88,40,10,Under-7,M
96,61,42,94,Under-7,H
57,51,46,34,Under-7,M
77,69,41,13,Under-7,M
80,51,40,24,Under-7,M
62,61,82,40,Under-7,M
72,83,12,90,Under-7,H
87,81,22,70,Under-7,H
72,90,12,30,Under-7,M
2,11,62,30,Under-7,L
5,3,2,10,Under-7,L
73,84,77,81,Above-7,H
5,17,21,10,Above-7,L
51,42,12,29,Above-7,M
9,7,21,20,Above-7,L
19,72,15,50,Above-7,M
32,80,58,46,Above-7,M
32,60,58,66,Above-7,M
12,8,18,26,Above-7,L
52,10,13,6,Above-7,L
72,80,58,66,Above-7,M
72,80,58,66,Above-7,M
92,80,88,76,Under-7,H
72,80,98,96,Under-7,H
72,80,58,86,Under-7,M
22,20,18,6,Above-7,L
12,20,38,46,Above-7,M
70,92,83,85,Under-7,H
50,40,52,66,Under-7,M
80,94,62,77,Under-7,H
87,48,82,96,Above-7,M
70,40,2,16,Above-7,L
65,86,62,40,Above-7,M
15,6,32,40,Under-7,H
19,74,32,17,Above-7,L
69,76,82,94,Under-7,M
39,26,12,44,Above-7,L
59,97,42,70,Under-7,H
10,17,12,40,Under-7,H
80,87,72,60,Under-7,H
70,99,66,65,Under-7,M
80,97,86,95,Under-7,M
69,34,12,17,Above-7,L
10,17,12,14,Above-7,L
61,97,82,64,Above-7,M
21,27,52,34,Above-7,M
49,94,42,7,Above-7,M
70,64,42,32,Under-7,M
79,84,82,37,Under-7,H
19,80,12,17,Above-7,M
11,70,32,29,Above-7,M
10,8,10,10,Above-7,M
18,28,40,20,Above-7,M
90,84,52,30,Under-7,H
92,81,32,36,Under-7,M
42,21,2,16,Under-7,M
22,20,6,26,Under-7,H
95,82,82,70,Under-7,H
90,62,80,60,Under-7,H
72,21,22,26,Under-7,H
92,31,42,27,Under-7,H
82,31,52,25,Under-7,M
72,41,46,27,Under-7,M
74,71,56,37,Under-7,H
74,60,56,37,Under-7,H
95,94,72,80,Under-7,H
97,87,82,86,Under-7,H
40,38,32,36,Above-7,M
41,39,35,39,Above-7,M
51,79,85,89,Under-7,H
81,79,91,85,Under-7,H
71,70,65,69,Under-7,M
75,71,76,80,Under-7,M
49,36,32,44,Above-7,L
42,24,12,24,Above-7,L
90,86,82,74,Under-7,H
62,64,72,84,Under-7,H
90,86,82,74,Above-7,M
62,64,72,84,Above-7,M
98,87,86,84,Under-7,H
72,74,82,89,Under-7,H
18,17,26,34,Above-7,M
32,14,32,29,Above-7,M
10,12,20,13,Above-7,L
22,34,15,9,Above-7,L
11,20,21,23,Under-7,M
12,44,25,39,Under-7,M
15,50,24,43,Under-7,M
32,44,29,89,Under-7,M
65,59,74,83,Under-7,H
72,64,59,89,Under-7,H
95,57,74,89,Above-7,M
82,84,79,79,Above-7,M
25,29,34,33,Above-7,M
42,34,29,39,Above-7,M
55,79,44,43,Under-7,H
62,64,69,49,Under-7,H
78,88,74,83,Under-7,H
72,84,89,89,Under-7,H
60,92,83,23,Under-7,H
50,90,83,13,Under-7,H
60,97,13,3,Under-7,H
50,95,23,10,Under-7,H
60,87,23,11,Above-7,M
50,80,20,15,Above-7,M
10,15,10,21,Above-7,L
30,10,20,5,Above-7,L
24,35,18,31,Under-7,M
27,20,33,35,Under-7,M
10,15,10,21,Above-7,L
30,10,20,5,Above-7,L
80,77,63,83,Under-7,M
75,85,73,80,Under-7,M
40,7,50,41,Above-7,L
35,2,29,33,Above-7,L
10,90,30,21,Under-7,M
25,80,29,23,Under-7,M
10,8,9,3,Above-7,L
15,7,12,7,Above-7,L
70,90,20,21,Under-7,M
75,80,15,20,Under-7,M
78,98,10,11,Under-7,M
79,89,11,14,Under-7,M
16,90,15,11,Under-7,M
17,80,13,10,Under-7,M
40,87,50,41,Under-7,M
35,92,29,33,Under-7,M
14,97,15,14,Under-7,H
13,82,20,30,Under-7,H
24,97,15,14,Under-7,H
23,82,20,30,Under-7,H
20,3,9,3,Above-7,L
15,4,12,7,Above-7,L
5,13,6,6,Above-7,L
7,9,11,10,Above-7,L
10,94,40,11,Under-7,M
25,89,21,13,Under-7,M
30,98,42,21,Under-7,H
35,97,41,23,Under-7,H
32,88,32,25,Under-7,M
25,87,21,27,Under-7,M
72,98,52,15,Under-7,H
75,90,51,17,Under-7,H
20,88,31,28,Above-7,M
